['riven', 'leesin', 'leblanc', 'ezreal', 'leona', 'jayce', 'olaf', 'sylas', 'ashe', 'blitzcrank', 'red']
['seraphine', 'warwick', 'leesin', 'ezreal', 'zyra', 'lucian', 'leesin', 'irelia', 'ahri', 'zilean', 'blue']
['fiora', 'shaco', 'corki', 'ezreal', 'alistar', 'rumble', 'xinzhao', 'zed', 'jinx', 'poppy', 'blue']
['sett', 'diana', 'yone', 'thresh', 'tristana', 'maokai', 'shaco', 'ornn', 'kaisa', 'sylas', 'red']
['olaf', 'sylas', 'fiora', 'samira', 'zyra', 'talon', 'ryze', 'diana', 'pyke', 'ezreal', 'red']
['fiora', 'leesin', 'galio', 'twitch', 'lulu', 'vladimir', 'graves', 'akali', 'ezreal', 'missfortune', 'blue']
['aatrox', 'masteryi', 'yone', 'ryze', 'lux', 'renekton', 'jax', 'akali', 'ezreal', 'yuumi', 'red']
['velkoz', 'kindred', 'zed', 'mordekaiser', 'lux', 'shen', 'nidalee', 'yasuo', 'senna', 'maokai', 'blue']
['heimerdinger', 'elise', 'zed', 'aphelios', 'pyke', 'volibear', 'graves', 'sylas', 'samira', 'nautilus', 'red']
['karthus', 'elise', 'lucian', 'jinx', 'leona', 'darius', 'leesin', 'leblanc', 'ezreal', 'senna', 'red']
['taric', 'rengar', 'morgana', 'viktor', 'rakan', 'sett', 'nidalee', 'yone', 'ezreal', 'ahri', 'red']
['irelia', 'nidalee', 'leblanc', 'xayah', 'leona', 'fiora', 'leesin', 'twistedfate', 'jinx', 'karma', 'blue']
['gwen', 'elise', 'yone', 'kaisa', 'alistar', 'aatrox', 'nocturne', 'renekton', 'ezreal', 'thresh', 'blue']
['teemo', 'graves', 'rell', 'samira', 'kennen', 'sett', 'twitch', 'sylas', 'leesin', 'caitlyn', 'blue']
['camille', 'rumble', 'rammus', 'ezreal', 'seraphine', 'volibear', 'kayn', 'kassadin', 'jhin', 'thresh', 'red']
['leesin', 'malphite', 'bard', 'samira', 'sylas', 'chogath', 'ekko', 'syndra', 'samira', 'amumu', 'red']
['malphite', 'jarvaniv', 'zoe', 'ezreal', 'pyke', 'kalista', 'leesin', 'sylas', 'kaisa', 'lux', 'blue']
['shaco', 'xinzhao', 'lissandra', 'yasuo', 'senna', 'sylas', 'viego', 'samira', 'qiyana', 'nautilus', 'blue']
['garen', 'elise', 'katarina', 'jhin', 'thresh', 'jax', 'olaf', 'fizz', 'ezreal', 'senna', 'blue']
['heimerdinger', 'ahri', 'volibear', 'pyke', 'karma', 'kayle', 'vayne', 'nautilus', 'lillia', 'qiyana', 'red']
['trundle', 'nunu', 'yone', 'jinx', 'thresh', 'akali', 'xinzhao', 'pantheon', 'samira', 'gragas', 'red']
['jayce', 'karthus', 'zed', 'ezreal', 'yuumi', 'talon', 'gragas', 'aatrox', 'vladimir', 'thresh', 'blue']
['sett', 'diana', 'ashe', 'varus', 'bard', 'kled', 'nidalee', 'cassiopeia', 'ezreal', 'velkoz', 'red']
